well,x,y
1021,592771,6992767
1022,593256,6992673
1073,594245,6991721
1094,592991,6991956
1115,593162,6990737
1140,595945,6989909
1158,596640,6989522
1174,596181,6989156
1175,596539,6988767
1176,597161,6989076
1218,596132,6987662
1220,597195,6987527
1311,593342,6983805
1321,592641,6983392
1325,594559,6983333
1329,593134,6982964
1335,594017,6983104
1344,594320,6982442
1346,595515,6982342
1430,592406,6979207
1446,593541,6978010
1447,593882,6979043
1459,593251,6978013
1994,599642,7000054
5505,592770,6978421
5508,592314,6977908
5517,592097,6976908
575,599415,7000631
577,600462,7000561
595,596902,6999729
601,600050,6999613
624,597135,6999170
625,597360,6999655
627,598401,6999572
629,599424,6999590
631,600374,6999573
682,596324,6998533
684,597375,6998579
685,597889,6998572
688,599367,6998620
712,596652,6998427
