oil_well,ppd_well,corr_cat,abs_corr,n_events,event_corr,ccf_corr,expected,acceptable
1094,1022,none,0.1444900226407037,23,-0.1444900226407037,-0.07894387679370028,impact,weak
1094,1021,none,0.1151548196875568,20,-0.1151548196875568,0.0822894209757942,impact,weak
1094,1115,weak,0.34172038829896173,10,-0.34172038829896173,-0.08977734408114767,none,impact
1094,1073,none,0.09799375809847485,18,0.0015691235035291318,0.09799375809847485,none,weak
1158,1174,weak,0.5983471328753506,13,-0.5983471328753506,-0.09990555486462205,impact,weak
1158,1176,weak,0.14775777026763748,19,0.14775777026763748,-0.07341653334268546,impact,weak
1158,1140,weak,0.2399700550571009,18,-0.2399700550571009,-0.12231075244975191,impact,weak
1158,1218,none,0.11140370862181194,18,-0.11140370862181194,-0.08769279793917606,none,weak
1175,1174,weak,0.2556015368226552,13,-0.2556015368226552,-0.09557918800935603,impact,weak
1175,1176,none,0.17060500725824843,19,-0.17060500725824843,0.08249951784136275,impact,weak
1175,1218,none,0.09933766687280719,18,0.0031652614461997477,-0.09933766687280719,none,weak
1175,1140,none,0.09086202526916336,18,0.026919230097630684,-0.09086202526916336,none,weak
1175,1220,impact,0.3810256339827575,13,0.3810256339827575,0.1112086413312158,none,weak
1321,1329,none,0.17588200321459782,15,-0.17588200321459782,0.09385267663500718,impact,weak
1321,1311,weak,0.7844612950230445,11,-0.7844612950230445,-0.08842063207182332,weak,"impact,none"
1321,1325,none,0.1639035953434708,10,-0.1639035953434708,-0.09906066448260449,none,weak
1321,1344,impact,0.5853225568382547,7,0.5853225568382547,0.1032675751984863,none,weak
1335,1325,weak,0.1180493292572839,10,-0.04939118577177574,0.1180493292572839,impact,weak
1335,1344,none,0.14802260820486637,7,-0.13636363636363635,-0.14802260820486637,impact,weak
1335,1329,weak,0.11771124750163767,15,0.11144457452438511,0.11771124750163767,weak,"impact,none"
1335,1311,weak,0.12874413716407682,11,0.12874413716407682,0.09742891042820437,weak,"impact,none"
1335,1346,weak,0.3855701541695039,8,-0.3855701541695039,-0.08287441320557849,none,weak
1430,5508,none,0.12325182837504796,21,-0.12325182837504796,-0.07467825594876863,,
1430,1459,impact,0.25616630627502174,16,0.25616630627502174,-0.10714876867928406,,
1430,1447,weak,0.12023059137463206,5,0.0,0.12023059137463206,,
1446,1459,none,0.16807618870979907,16,-0.16807618870979907,-0.09615044555221673,impact,weak
1446,1447,impact,0.21081851067789192,5,0.21081851067789192,-0.16036298092790546,none,weak
1446,5508,none,0.09397932074263739,21,0.02242510291107204,0.09397932074263739,none,weak
1446,5517,none,0.11535611876676725,14,-0.002561367520589138,-0.11535611876676725,none,weak
1994,629,impact,0.32208016421988495,9,0.32208016421988495,-0.08320833311981378,impact,weak
1994,575,impact,0.2898855178262242,6,0.2898855178262242,-0.08576163957714204,impact,weak
1994,631,weak,0.12884405501936821,10,0.12884405501936821,0.08387260536922597,weak,none
1994,577,weak,0.132539740495767,8,0.132539740495767,-0.08284294939555263,weak,"impact,none"
1994,627,none,0.08037931347872983,11,0.01929330267244109,-0.08037931347872983,,
1994,688,weak,0.2619684159977919,7,-0.2619684159977919,-0.09031430289067711,none,weak
5505,1459,weak,0.3854096126075673,16,-0.3854096126075673,-0.13183729546955833,impact,weak
5505,5508,weak,0.1417382095991832,21,0.1417382095991832,0.09760153725790395,impact,weak
5505,1447,weak,0.41039134083406165,5,-0.41039134083406165,-0.12903818809439388,none,weak
5505,5517,impact,0.4466942412363547,14,0.4466942412363547,0.08593730241457204,none,weak
595,625,weak,0.5405624776173354,7,-0.5405624776173354,-0.10223787771000802,impact,weak
595,684,impact,0.5614069646580032,12,0.5614069646580032,-0.17033051552978445,none,weak
595,682,none,0.12995051993036305,18,-0.12995051993036305,0.10688223584481674,none,weak
595,627,impact,0.42032444656755064,11,0.42032444656755064,0.1028862078553054,none,weak
595,685,none,0.0827345000322943,15,0.0055487095202309406,0.0827345000322943,none,weak
601,631,none,0.11657319263657127,10,-0.11657319263657127,0.10790591290862937,impact,weak
601,629,weak,0.10698292060819393,9,0.05882560647712125,0.10698292060819393,impact,weak
601,577,weak,0.41443123283995714,7,-0.41443123283995714,0.09176239540867759,weak,"impact,none"
601,575,weak,0.5428571428571429,6,-0.5428571428571429,0.11009789469787228,none,weak
601,688,impact,0.23190841426097938,6,0.23190841426097938,-0.1028923969423697,none,weak
601,627,impact,0.3611111111111111,11,0.3611111111111111,0.08915344006766798,,
624,625,impact,0.3555285645684319,7,0.3555285645684319,-0.10145595074289208,impact,weak
624,684,none,0.08089979632255871,12,0.025051497972266523,0.08089979632255871,impact,weak
624,685,weak,0.3428283219242267,15,-0.3428283219242267,-0.098742549625427,weak,"impact,none"
624,682,impact,0.2533271375852815,18,0.2533271375852815,0.10130736878371452,none,weak
624,627,none,0.1592615044071471,11,-0.1592615044071471,-0.09150748945501948,none,weak
712,682,weak,0.3269104313767638,18,-0.3269104313767638,-0.11729591136183047,impact,weak
712,684,none,0.09894548898363073,12,-0.09894548898363073,-0.08639382332399463,weak,"impact,none"
712,685,weak,0.11883112062302781,15,-0.030885616551136884,0.11883112062302781,none,weak
712,625,none,0.16366341767699433,7,-0.16366341767699433,-0.09014753435973222,none,weak
TOTALS,,,exact=21,nearby=15,miss=23,all=59,accuracy=0.61,
